Linux 6.6.9-amd64 (kali) 	10/14/2025 	_x86_64_	(2 CPU)

11:19:33 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:19:34 PM     0         1    0.00    0.00    0.00    0.00    0.00     0  systemd
11:19:34 PM     0         2    0.00    0.00    0.00    0.00    0.00     1  kthreadd
11:19:34 PM     0         3    0.00    0.00    0.00    0.00    0.00     0  pool_workqueue_release
11:19:34 PM     0         4    0.00    0.00    0.00    0.00    0.00     0  kworker/R-rcu_g
11:19:34 PM     0         5    0.00    0.00    0.00    0.00    0.00     0  kworker/R-rcu_p
11:19:34 PM     0         6    0.00    0.00    0.00    0.00    0.00     0  kworker/R-slub_
11:19:34 PM     0         7    0.00    0.00    0.00    0.00    0.00     0  kworker/R-netns
11:19:34 PM     0        12    0.00    0.00    0.00    0.00    0.00     1  kworker/R-mm_pe
11:19:34 PM     0        13    0.00    0.00    0.00    0.00    0.00     0  rcu_tasks_kthread
11:19:34 PM     0        14    0.00    0.00    0.00    0.00    0.00     0  rcu_tasks_rude_kthread
11:19:34 PM     0        15    0.00    0.00    0.00    0.00    0.00     0  rcu_tasks_trace_kthread
11:19:34 PM     0        16    0.00    0.00    0.00    0.00    0.00     0  ksoftirqd/0
11:19:34 PM     0        17    0.00    0.00    0.00    0.00    0.00     1  rcu_preempt
11:19:34 PM     0        18    0.00    0.00    0.00    0.00    0.00     0  migration/0
11:19:34 PM     0        19    0.00    0.00    0.00    0.00    0.00     0  idle_inject/0
11:19:34 PM     0        20    0.00    0.00    0.00    0.00    0.00     0  cpuhp/0
11:19:34 PM     0        21    0.00    0.00    0.00    0.00    0.00     1  cpuhp/1
11:19:34 PM     0        22    0.00    0.00    0.00    0.00    0.00     1  idle_inject/1
11:19:34 PM     0        23    0.00    0.00    0.00    0.00    0.00     1  migration/1
11:19:34 PM     0        24    0.00    0.00    0.00    0.00    0.00     1  ksoftirqd/1
11:19:34 PM     0        26    0.00    0.00    0.00    0.00    0.00     1  kworker/1:0H-events_highpri
11:19:34 PM     0        31    0.00    0.00    0.00    0.00    0.00     0  kdevtmpfs
11:19:34 PM     0        32    0.00    0.00    0.00    0.00    0.00     1  kworker/R-inet_
11:19:34 PM     0        33    0.00    0.00    0.00    0.00    0.00     0  kauditd
11:19:34 PM     0        35    0.00    0.00    0.00    0.00    0.00     0  khungtaskd
11:19:34 PM     0        36    0.00    0.00    0.00    0.00    0.00     1  oom_reaper
11:19:34 PM     0        38    0.00    0.00    0.00    0.00    0.00     1  kworker/R-write
11:19:34 PM     0        39    0.00    0.00    0.00    0.00    0.00     1  kcompactd0
11:19:34 PM     0        40    0.00    0.00    0.00    0.00    0.00     1  ksmd
11:19:34 PM     0        41    0.00    0.00    0.00    0.00    0.00     0  khugepaged
11:19:34 PM     0        42    0.00    0.00    0.00    0.00    0.00     1  kworker/R-kinte
11:19:34 PM     0        43    0.00    0.00    0.00    0.00    0.00     1  kworker/R-kbloc
11:19:34 PM     0        44    0.00    0.00    0.00    0.00    0.00     1  kworker/R-blkcg
11:19:34 PM     0        45    0.00    0.00    0.00    0.00    0.00     1  kworker/R-tpm_d
11:19:34 PM     0        46    0.00    0.00    0.00    0.00    0.00     1  kworker/R-edac-
11:19:34 PM     0        47    0.00    0.00    0.00    0.00    0.00     1  kworker/R-devfr
11:19:34 PM     0        49    0.00    0.00    0.00    0.00    0.00     0  kswapd0
11:19:34 PM     0        57    0.00    0.00    0.00    0.00    0.00     0  kworker/R-kthro
11:19:34 PM     0        59    0.00    0.00    0.00    0.00    0.00     0  kworker/R-acpi_
11:19:34 PM     0        61    0.00    0.00    0.00    0.00    0.00     0  kworker/R-mld
11:19:34 PM     0        62    0.00    0.00    0.00    0.00    0.00     1  kworker/R-ipv6_
11:19:34 PM     0        67    0.00    0.00    0.00    0.00    0.00     0  kworker/R-kstrp
11:19:34 PM     0        69    0.00    0.00    0.00    0.00    0.00     0  kworker/u7:0
11:19:34 PM     0        70    0.00    0.00    0.00    0.00    0.00     0  kworker/u8:0
11:19:34 PM     0        71    0.00    0.00    0.00    0.00    0.00     0  kworker/u9:0
11:19:34 PM     0       172    0.00    0.00    0.00    0.00    0.00     0  kworker/R-crypt
11:19:34 PM     0       179    0.00    0.00    0.00    0.00    0.00     1  kworker/R-ata_s
11:19:34 PM     0       181    0.00    0.00    0.00    0.00    0.00     1  scsi_eh_0
11:19:34 PM     0       182    0.00    0.00    0.00    0.00    0.00     1  kworker/R-scsi_
11:19:34 PM     0       183    0.00    0.00    0.00    0.00    0.00     1  scsi_eh_1
11:19:34 PM     0       186    0.00    0.00    0.00    0.00    0.00     0  kworker/R-scsi_
11:19:34 PM     0       187    0.00    0.00    0.00    0.00    0.00     0  scsi_eh_2
11:19:34 PM     0       190    0.00    0.00    0.00    0.00    0.00     1  kworker/R-scsi_
11:19:34 PM     0       196    0.00    0.00    0.00    0.00    0.00     1  irq/18-vmwgfx
11:19:34 PM     0       197    0.00    0.00    0.00    0.00    0.00     0  kworker/R-ttm
11:19:34 PM     0       235    0.00    0.00    0.00    0.00    0.00     0  kworker/0:2H-kblockd
11:19:34 PM     0       269    0.00    0.00    0.00    0.00    0.00     0  jbd2/sda1-8
11:19:34 PM     0       270    0.00    0.00    0.00    0.00    0.00     0  kworker/R-ext4-
11:19:34 PM     0       312    0.00    0.00    0.00    0.00    0.00     1  psimon
11:19:34 PM     0       327    0.00    0.00    0.00    0.00    0.00     0  systemd-journal
11:19:34 PM     0       371    0.00    0.00    0.00    0.00    0.00     0  systemd-udevd
11:19:34 PM     0       383    0.00    0.00    0.00    0.00    0.00     1  kworker/u4:1-ext4-rsv-conversion
11:19:34 PM     0       409    0.00    0.00    0.00    0.00    0.00     0  psimon
11:19:34 PM     0       466    0.00    0.00    0.00    0.00    0.00     0  haveged
11:19:34 PM     0       484    0.00    0.00    0.00    0.00    0.00     0  accounts-daemon
11:19:34 PM   100       486    0.00    0.00    0.00    0.00    0.00     1  dbus-daemon
11:19:34 PM   991       492    0.00    0.00    0.00    0.00    0.00     1  polkitd
11:19:34 PM     0       493    0.00    0.00    0.00    0.00    0.00     1  systemd-logind
11:19:34 PM     0       496    0.00    0.00    0.00    0.00    0.00     0  kworker/R-rpcio
11:19:34 PM     0       497    0.00    0.00    0.00    0.00    0.00     1  kworker/R-xprti
11:19:34 PM     0       500    0.00    0.00    0.00    0.00    0.00     1  cron
11:19:34 PM     0       547    0.00    0.00    0.00    0.00    0.00     1  NetworkManager
11:19:34 PM     0       585    0.00    0.00    0.00    0.00    0.00     0  ModemManager
11:19:34 PM     0       643    0.00    0.00    0.00    0.00    0.00     0  kworker/u4:2-ext4-rsv-conversion
11:19:34 PM     0       683    0.00    0.00    0.00    0.00    0.00     1  VBoxService
11:19:34 PM     0       781    0.00    0.00    0.00    0.00    0.00     0  lightdm
11:19:34 PM     0       788    0.00    0.00    0.00    0.00    0.00     1  containerd
11:19:34 PM     0       815    0.99    0.99    0.00    0.00    1.98     1  Xorg
11:19:34 PM     0       817    0.00    0.00    0.00    0.00    0.00     1  agetty
11:19:34 PM     0       824    0.00    0.00    0.00    0.00    0.00     1  dockerd
11:19:34 PM   112       961    0.00    0.00    0.00    0.00    0.00     1  rtkit-daemon
11:19:34 PM     0      1098    0.00    0.00    0.00    0.00    0.00     1  lightdm
11:19:34 PM  1000      1105    0.00    0.00    0.00    0.00    0.00     0  systemd
11:19:34 PM  1000      1106    0.00    0.00    0.00    0.00    0.00     0  (sd-pam)
11:19:34 PM  1000      1124    0.00    0.00    0.00    0.00    0.00     0  pipewire
11:19:34 PM  1000      1125    0.00    0.00    0.00    0.00    0.00     1  pipewire
