Linux 6.6.9-amd64 (kali) 	10/15/2025 	_x86_64_	(2 CPU)

03:48:31 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:48:32 AM     0         1    0.00    0.00    0.00    0.00    0.00     0  systemd
03:48:32 AM     0         2    0.00    0.00    0.00    0.00    0.00     1  kthreadd
03:48:32 AM     0         3    0.00    0.00    0.00    0.00    0.00     0  pool_workqueue_release
03:48:32 AM     0         4    0.00    0.00    0.00    0.00    0.00     0  kworker/R-rcu_g
03:48:32 AM     0         5    0.00    0.00    0.00    0.00    0.00     0  kworker/R-rcu_p
03:48:32 AM     0         6    0.00    0.00    0.00    0.00    0.00     0  kworker/R-slub_
03:48:32 AM     0         7    0.00    0.00    0.00    0.00    0.00     0  kworker/R-netns
03:48:32 AM     0        12    0.00    0.00    0.00    0.00    0.00     1  kworker/R-mm_pe
03:48:32 AM     0        13    0.00    0.00    0.00    0.00    0.00     0  rcu_tasks_kthread
03:48:32 AM     0        14    0.00    0.00    0.00    0.00    0.00     0  rcu_tasks_rude_kthread
03:48:32 AM     0        15    0.00    0.00    0.00    0.00    0.00     0  rcu_tasks_trace_kthread
03:48:32 AM     0        16    0.00    0.00    0.00    0.00    0.00     0  ksoftirqd/0
03:48:32 AM     0        17    0.00    0.00    0.00    0.00    0.00     0  rcu_preempt
03:48:32 AM     0        18    0.00    0.00    0.00    0.00    0.00     0  migration/0
03:48:32 AM     0        19    0.00    0.00    0.00    0.00    0.00     0  idle_inject/0
03:48:32 AM     0        20    0.00    0.00    0.00    0.00    0.00     0  cpuhp/0
03:48:32 AM     0        21    0.00    0.00    0.00    0.00    0.00     1  cpuhp/1
03:48:32 AM     0        22    0.00    0.00    0.00    0.00    0.00     1  idle_inject/1
03:48:32 AM     0        23    0.00    0.00    0.00    0.00    0.00     1  migration/1
03:48:32 AM     0        24    0.00    0.00    0.00    0.00    0.00     1  ksoftirqd/1
03:48:32 AM     0        26    0.00    0.00    0.00    0.00    0.00     1  kworker/1:0H-events_highpri
03:48:32 AM     0        31    0.00    0.00    0.00    0.00    0.00     0  kdevtmpfs
03:48:32 AM     0        32    0.00    0.00    0.00    0.00    0.00     1  kworker/R-inet_
03:48:32 AM     0        33    0.00    0.00    0.00    0.00    0.00     0  kauditd
03:48:32 AM     0        35    0.00    0.00    0.00    0.00    0.00     1  khungtaskd
03:48:32 AM     0        36    0.00    0.00    0.00    0.00    0.00     1  oom_reaper
03:48:32 AM     0        38    0.00    0.00    0.00    0.00    0.00     1  kworker/R-write
03:48:32 AM     0        39    0.00    0.00    0.00    0.00    0.00     1  kcompactd0
03:48:32 AM     0        40    0.00    0.00    0.00    0.00    0.00     1  ksmd
03:48:32 AM     0        41    0.00    0.00    0.00    0.00    0.00     1  khugepaged
03:48:32 AM     0        42    0.00    0.00    0.00    0.00    0.00     1  kworker/R-kinte
03:48:32 AM     0        43    0.00    0.00    0.00    0.00    0.00     1  kworker/R-kbloc
03:48:32 AM     0        44    0.00    0.00    0.00    0.00    0.00     1  kworker/R-blkcg
03:48:32 AM     0        45    0.00    0.00    0.00    0.00    0.00     1  kworker/R-tpm_d
03:48:32 AM     0        46    0.00    0.00    0.00    0.00    0.00     1  kworker/R-edac-
03:48:32 AM     0        47    0.00    0.00    0.00    0.00    0.00     1  kworker/R-devfr
03:48:32 AM     0        49    0.00    0.00    0.00    0.00    0.00     0  kswapd0
03:48:32 AM     0        57    0.00    0.00    0.00    0.00    0.00     0  kworker/R-kthro
03:48:32 AM     0        59    0.00    0.00    0.00    0.00    0.00     0  kworker/R-acpi_
03:48:32 AM     0        61    0.00    0.00    0.00    0.00    0.00     0  kworker/R-mld
03:48:32 AM     0        62    0.00    0.00    0.00    0.00    0.00     1  kworker/R-ipv6_
03:48:32 AM     0        67    0.00    0.00    0.00    0.00    0.00     0  kworker/R-kstrp
03:48:32 AM     0        69    0.00    0.00    0.00    0.00    0.00     0  kworker/u7:0
03:48:32 AM     0        70    0.00    0.00    0.00    0.00    0.00     0  kworker/u8:0
03:48:32 AM     0        71    0.00    0.00    0.00    0.00    0.00     0  kworker/u9:0
03:48:32 AM     0       172    0.00    0.00    0.00    0.00    0.00     0  kworker/R-crypt
03:48:32 AM     0       179    0.00    0.00    0.00    0.00    0.00     1  kworker/R-ata_s
03:48:32 AM     0       181    0.00    0.00    0.00    0.00    0.00     1  scsi_eh_0
03:48:32 AM     0       182    0.00    0.00    0.00    0.00    0.00     1  kworker/R-scsi_
03:48:32 AM     0       183    0.00    0.00    0.00    0.00    0.00     1  scsi_eh_1
03:48:32 AM     0       186    0.00    0.00    0.00    0.00    0.00     0  kworker/R-scsi_
03:48:32 AM     0       187    0.00    0.00    0.00    0.00    0.00     0  scsi_eh_2
03:48:32 AM     0       190    0.00    0.00    0.00    0.00    0.00     1  kworker/R-scsi_
03:48:32 AM     0       196    0.00    0.00    0.00    0.00    0.00     1  irq/18-vmwgfx
03:48:32 AM     0       197    0.00    0.00    0.00    0.00    0.00     0  kworker/R-ttm
03:48:32 AM     0       235    0.00    0.00    0.00    0.00    0.00     0  kworker/0:2H-kblockd
03:48:32 AM     0       269    0.00    0.00    0.00    0.00    0.00     0  jbd2/sda1-8
03:48:32 AM     0       270    0.00    0.00    0.00    0.00    0.00     0  kworker/R-ext4-
03:48:32 AM     0       312    0.00    0.00    0.00    0.00    0.00     1  psimon
03:48:32 AM     0       327    0.00    0.00    0.00    0.00    0.00     0  systemd-journal
03:48:32 AM     0       371    0.00    0.00    0.00    0.00    0.00     1  systemd-udevd
03:48:32 AM     0       383    0.00    0.00    0.00    0.00    0.00     0  kworker/u4:1-ext4-rsv-conversion
03:48:32 AM     0       409    0.00    0.00    0.00    0.00    0.00     0  psimon
03:48:32 AM     0       466    0.00    0.00    0.00    0.00    0.00     0  haveged
03:48:32 AM     0       484    0.00    0.00    0.00    0.00    0.00     1  accounts-daemon
03:48:32 AM   100       486    0.00    0.00    0.00    0.00    0.00     1  dbus-daemon
03:48:32 AM   991       492    0.00    0.00    0.00    0.00    0.00     0  polkitd
03:48:32 AM     0       493    0.00    0.00    0.00    0.00    0.00     1  systemd-logind
03:48:32 AM     0       496    0.00    0.00    0.00    0.00    0.00     0  kworker/R-rpcio
03:48:32 AM     0       497    0.00    0.00    0.00    0.00    0.00     1  kworker/R-xprti
03:48:32 AM     0       500    0.00    0.00    0.00    0.00    0.00     1  cron
03:48:32 AM     0       547    0.00    0.00    0.00    0.00    0.00     1  NetworkManager
03:48:32 AM     0       585    0.00    0.00    0.00    0.00    0.00     1  ModemManager
03:48:32 AM     0       643    0.00    0.00    0.00    0.00    0.00     0  kworker/u4:2-ext4-rsv-conversion
03:48:32 AM     0       683    0.00    0.00    0.00    0.00    0.00     1  VBoxService
03:48:32 AM     0       781    0.00    0.00    0.00    0.00    0.00     1  lightdm
03:48:32 AM     0       788    0.00    0.00    0.00    0.00    0.00     1  containerd
03:48:32 AM     0       815    1.98    4.95    0.00    0.99    6.93     0  Xorg
03:48:32 AM     0       817    0.00    0.00    0.00    0.00    0.00     1  agetty
03:48:32 AM     0       824    0.00    0.00    0.00    0.00    0.00     1  dockerd
03:48:32 AM   112       961    0.00    0.00    0.00    0.00    0.00     1  rtkit-daemon
03:48:32 AM     0      1098    0.00    0.00    0.00    0.00    0.00     1  lightdm
03:48:32 AM  1000      1105    0.00    0.00    0.00    0.00    0.00     1  systemd
03:48:32 AM  1000      1106    0.00    0.00    0.00    0.00    0.00     0  (sd-pam)
03:48:32 AM  1000      1124    0.00    0.00    0.00    0.00    0.00     0  pipewire
03:48:32 AM  1000      1125    0.00    0.00    0.00    0.00    0.00     1  pipewire
03:48:32 AM  1000      1127    0.00    0.00    0.00    0.00    0.00     1  wireplumber
03:48:32 AM  1000      1128    0.00    0.00    0.00    0.00    0.00     0  pipewire-pulse
03:48:32 AM  1000      1129    0.00    0.00    0.00    0.00    0.00     1  gnome-keyring-d
03:48:32 AM  1000      1130    0.00    0.00    0.00    0.00    0.00     1  dbus-daemon
03:48:32 AM  1000      1153    0.00    0.00    0.00    0.99    0.00     0  xfce4-session
03:48:32 AM  1000      1207    0.00    0.00    0.00    0.00    0.00     1  VBoxClient
03:48:32 AM  1000      1209    0.00    0.00    0.00    0.00    0.00     1  VBoxClient
03:48:32 AM  1000      1222    0.00    0.00    0.00    0.00    0.00     0  VBoxClient
03:48:32 AM  1000      1223    0.00    0.00    0.00    0.00    0.00     1  VBoxClient
03:48:32 AM  1000      1230    0.00    0.00    0.00    0.00    0.00     1  VBoxClient
03:48:32 AM  1000      1231    0.00    0.00    0.00    0.00    0.00     1  VBoxClient
03:48:32 AM  1000      1243    0.00    0.00    0.00    0.00    0.00     1  ssh-agent
03:48:32 AM  1000      1253    0.00    0.00    0.00    0.00    0.00     0  at-spi-bus-laun
03:48:32 AM  1000      1260    0.00    0.00    0.00    0.00    0.00     0  dbus-daemon
03:48:32 AM  1000      1272    0.00    0.00    0.00    0.00    0.00     0  at-spi2-registr
03:48:32 AM  1000      1284    0.00    0.00    0.00    0.00    0.00     0  gpg-agent
03:48:32 AM  1000      1290    0.00    0.00    0.00    0.00    0.00     0  gvfsd
03:48:32 AM  1000      1296    0.00    0.00    0.00    0.00    0.00     1  gvfsd-fuse
03:48:32 AM  1000      1320    0.00    0.00    0.00    0.00    0.00     1  VBoxClient
03:48:32 AM  1000      1321    0.00    0.00    0.00    0.00    0.00     0  VBoxClient
03:48:32 AM  1000      1325    0.00    0.00    0.00    0.99    0.00     0  xfsettingsd
03:48:32 AM     0      1329    0.00    0.00    0.00    0.00    0.00     1  upowerd
03:48:32 AM  1000      1343    0.00    0.00    0.00    0.00    0.00     1  Thunar
03:48:32 AM  1000      1349    0.00    0.00    0.00    0.99    0.00     1  xfdesktop
03:48:32 AM  1000      1408    0.00    0.00    0.00    0.99    0.00     1  xfce4-power-man
03:48:32 AM  1000      1456    0.00    0.00    0.00    0.00    0.00     1  nm-applet
03:48:32 AM  1000      1459    0.00    0.00    0.00    0.00    0.00     0  gvfs-udisks2-vo
03:48:32 AM  1000      1461    0.00    0.00    0.00    0.00    0.00     1  xcape
03:48:32 AM  1000      1464    0.00    0.00    0.00    0.00    0.00     1  light-locker
03:48:32 AM     0      1469    0.00    0.00    0.00    0.00    0.00     1  udisksd
03:48:32 AM  1000      1472    0.00    0.00    0.00    0.00    0.00     1  polkit-mate-aut
03:48:32 AM  1000      1478    0.00    0.00    0.00    0.00    0.00     0  agent
03:48:32 AM  1000      1488    0.00    0.00    0.00    0.00    0.00     0  xiccd
03:48:32 AM  1000      1502    0.00    0.00    0.00    0.00    0.00     1  blueman-applet
03:48:32 AM  1000      1518    0.00    0.00    0.00    0.00    0.00     1  dconf-service
03:48:32 AM   113      1523    0.00    0.00    0.00    0.00    0.00     0  colord
03:48:32 AM  1000      1542    0.00    0.00    0.00    0.00    0.00     0  gvfs-goa-volume
03:48:32 AM  1000      1566    0.00    0.00    0.00    0.00    0.00     0  gvfs-gphoto2-vo
