procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 302244 137252  14848 1307692    0    3    39   266  430    1  0  1 98  1  0  0
 0  0 302244 137000  14848 1307704    0    0    16     4  828 1810  2  5 93  1  0  0
 0  0 302244 135040  14848 1307728    0    0    12     4  803 1584  1  4 95  0  0  0
 1  0 302244 135040  14848 1307752    0    0     0     4  382  389  0  1 99  0  0  0
 0  0 302244 135040  14848 1307780    0    0     0     0  608  985  1  3 97  0  0  0
 0  0 302244 134592  14848 1307808    0    0     0     0  431  604  0  1 99  0  0  0
 1  0 302244 134592  14856 1307836    0    0     0    72  356  256  0  1 99  0  0  0
 0  0 302244 134592  14856 1307864    0    0     0     0  348  241  0  0 100  0  0  0
 0  0 302244 134340  14856 1307892    0    0     0     0  331  237  0  0 100  0  0  0
 0  0 302244 134340  14856 1307928    0    0     0     0  450  568  0  1 99  0  0  0
 0  0 302244 134340  14856 1307956    0    0     0     0  342  248  0  0 100  0  0  0
 0  0 302244 134340  14864 1307984    0    0     0    72  555  823  0  1 99  1  0  0
 1  0 302244 146496  14864 1200324    0    0 98908     0  443  397  3  4 92  2  0  0
 1  0 302244  81528  14864 1200152    0    0     0     0  595  238 50  2 48  0  0  0
 1  0 302244 153380  14864 1188840    0    0 96760     0  654  376 44  4 50  2  0  0
 1  0 302244 109544  14864 1188812    0    0     0     0  806  892 51  3 46  0  0  0
 0  2 302244 114604  14872 1233056    0    0 13592 49688  928 1138 43  7 38 13  0  0
 0  2 302244  88148  14872 1258552    0    0 25600 24564  436  433  0  1 15 85  0  0
 0  1 302244 105672  14876 1241936    0    0 52484 24588  466  502  0  4 10 86  0  0
 2  0 302244 140824  14876 1107244    0    0  3556     0  110  255  8  3 89  1  0  0
 1  2 302244 120948  14876 1226344    0    0 19200 36980  453  448  0  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2 302244 103056  14884 1244252    0    0 17920 24632  483  385  0  2  0 98  0  0
 2  2 302244 144800  14884 1202848    0    0 27356 24548  498  449  1  2  0 97  0  0
 3  0 302244  86776  14884 1233980    0    0 31096    28  607  439 29  3 45 24  0  0
11  0 302244 132944  14884 1165744    0    0     0     0  349 1019 25  0 75  0  0  0
 0  2 302244 116804  14888 1231184    0    0 35316 51976  529  800  3  5 49 44  0  0
 4  0 302244  97232  14900 1225864    0    0 62344 56760  789  599 40  7 43 10  0  0
 3  0 302244 141008  14900 1157568    0    0     0     0  623  348 51  1 49  0  0  0
 3  0 302244 144604  14904 1151548    0    0 97660 98540  583  443 14 11 64 12  0  0
 0  2 302244 105412  14908 1242280    0    0 60920 143104  397  400  1 11 64 24  0  0
 5  1 302244  87992  14920 1210452    0    0 36744  3180  154  219  9  2 86  2  0  0
 1  0 302244 130480  14924 1202876    0    0 97660 48508  450 1101  2 12 77  9  0  0
 4  0 302244  92976  14924 1203012    0    0     0     0   63  414  9  1 90  0  0  0
 5  0 302244 102268  14932 1196712    0    0 97664 114800  544  560  4 10 75 11  0  0
 1  1 302244 153344  14956 1188540    0    0 97664 98416  481  603 12 10 58 20  0  0
 8  0 302244 110756  14956 1188496    0    0     0     0   61  226  4  1 95  0  0  0
 2  0 302244 142284  14956 1182528    0    0 97656 79988  370  450  3  9 72 17  0  0
 5  0 302244 145560  14956 1114320    0    0     0     0   83  174 11  1 88  0  0  0
 1  2 302244  88396  14960 1259184    0    0 46084 78000  585  569  1  5  3 92  0  0
 3  0 302244  97660  14968 1241660    0    0 51576 20508  477  419  7  1 45 48  0  0
 2  0 302244 124844  14968 1174104    0    0     0     0  584  285 51  1 49  0  0  0
 2  2 302244 139984  14968 1207908    0    0  2032 16404  570  328 39  3 38 21  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 302244 101344  14972 1234520    0    0 95608 80632  659  558 20  4 34 42  0  0
 1  0 302244 116284  14972 1166968    0    0     0     0 1089 1561 54  2 45  0  0  0
 4  0 302244 114472  15000 1227828    0    0 97672 131352  979  820 35 14 43  8  0  0
 3  1 302244 120004  14996 1160268    0    0     0     0   23  154  1  2 98  0  0  0
 6  0 302244 102600  15000 1220300    0    0 97660 97080  385  436  5 10 69 16  0  0
 1  0 302244 146604  15000 1152764    0    0     0     0   48  243  4  2 95  0  0  0
 2  0 302244 127292  15004 1213164    0    0 96384 64892  333  373  5 11 77  6  0  0
 7  1 302244  83448  15016 1213152    0    0     0   108   47  146  4  0 95  1  0  0
 2  0 302244 165204  15020 1278568    0    0 18236 131172  483  409  4 23 63 10  0  0
 2  0 302244 145708  15032 1298276    0    0 65700 97016 1178  758 12 37 47  4  0  0
 3  0 302244 109676  15036 1334044    0    0 73984 65604 1432  979 11 40 47  3  0  0
 2  0 302244 137144  15044 1307064    0    0 80872 149432 1536  877 12 43 36  8  0  0
 2  0 302244 131600  15056 1313072    0    0 90224 33148 1646  434  8 45 45  2  0  0
