procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 535272 1495592   7368 152540    3   23   334   639  424    2  0  1 98  1  0  0
 0  0 535272 1495592   7368 152608   16    0    16     0 1143 1712  1  2 98  0  0  0
 0  0 535272 1495592   7368 152636    0    0     0     4 1018 1487  0  9 91  0  0  0
 0  0 535272 1495592   7376 152668   56    0    56    80  578 1215  1  3 96  1  0  0
 0  0 535272 1495592   7376 152696    0    0     0     0  691 1030  1  2 97  0  0  0
 0  0 535272 1495592   7376 152728    0    0     0     0  425  419  0  1 99  0  0  0
 1  0 531944 1292960   7384 252708 2944    0 102068     0 1137 1328  2  9 82  6  0  0
 4  0 531944 1247652   7384 252824   40    0    40     0  183 1000  3  0 97  0  0  0
 5  4 531944 486856   7404 355080   16    0  2076 20844   76  167  3  3 94  0  0  0
 3  0 531944  90704   7408 450732    0    0 95624  8272  120  320 27 18  0 55  0  0
 4  1 607552  74280    708 292412  296 76016  1244 76016  352  537 77 23  0  0  0  0
 1  5 654912  97056    444 132284   60 47212   720 181852  580  394 14 17 13 55  0  0
 1  3 725568  77980    620 118240 5092 74416 107108 105920 2469 2079 43 27  1 30  0  0
 1  7 759616  67564    628 110892  872 34648  2668 35368  843  599 49  7  0 44  0  0
 0  9 797512  52056    632 111192  312 38368   528 38372  823  775 14  4  0 82  0  0
 0  8 822960 133156    672 153188  448 25640   880 33648 1166 1574  2  4  0 94  0  0
 0  8 838668  76748    676 202968 1768 17780 51716 67240 2142 1091  5 12  0 83  0  0
 0  7 843944  53720    828 220052  488 5300 17576 21720  947  533  2  3  0 96  0  0
 0  8 853280  63800    836 220252   68 9492   308 17744  703  437  0  4  0 96  0  0
 0  5 863524  52452    836 223756  324 10644  3044 10644  811  525  1  6  0 93  0  0
 0  5 874568  60796    836 226848   40 10976  3880 10976  790  335  1  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  3 894904  61052    836 244808  408 20772 18352 20772 1156  513  1  6  0 93  0  0
 3  1 1023144  73828    836 254940 5244 132244 15324 132244 3591 1541 38 36  0 26  0  0
 1  1 1048504  79388    328 108684 14056 37912 14192 37932 2378 2042 42 40  5 13  0  0
 5  2 672464 1128548    156  42740 1040 16908 245644 32856 3485 3725 23 70  1  7  0  0
 1  0 634832 1354248    764 271736  684    0 131016     0 1597 2830 31 15 45  9  0  0
 1  0 634832 1329184    772 272284    0    0   492     0  631  260 51  0 49  1  0  0
 1  0 634832 1167472    936 470412    0    0 98112 49296  751  508 42  6 46  6  0  0
 1  0 634576 1123556   1764 476320  184    0  6880     0  885  549 50  2 45  4  0  0
 1  0 633808 962668   1976 676260 1100    0 100976 146240 1380 1385 35 15 32 19  0  0
 1  0 633808 921708   1976 676348  108    0   176  1184  813  468 50  2 47  1  0  0
 1  0 633552 844044   1980 799368  216    0 22732 65676  736  499 41  6 40 13  0  0
 1  0 632784 739080   1980 877660  848    0 79448     0  975  920 48  3 45  5  0  0
 1  0 632784 681736   1980 877704    0    0     0     0  578  241 50  0 50  0  0  0
 1  0 632784 544860   2004 1075492    0    0 97660 98464  769  455 41  7 43 10  0  0
 1  0 632784 520284   2004 1075588    0    0     0     0  583  232 50  1 49  0  0  0
 1  0 631248 338980   2516 1279812 1496    0 105928 129140 1228 1065 37 12 35 16  0  0
 1  0 629712 310876   2516 1282024 1296    0  3496     0 1584 2309 53  7 36  4  0  0
 1  1 627664 153872   2516 1480704 2544    0 101016 49356 1551 1789 41  9 36 14  0  0
 1  0 626896 107808   2532 1480636  888    0   892    68  926  885 50  2 45  3  0  0
 1  0 626896 107304   2532 1480676   80    0    80     0  603  347 51  1 48  0  0  0
 1  0 638184  88236   2140 1547036   40 15424 97700 191628  934  684 35 13 36 16  0  0
